model_name,feature_group,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,brier_score,brier_score_std,ece,ece_std,train_time_s,inference_ms_per_1k,dataset,n_features
OC_SVM,G4,0.7100582477631658,0.04137617687994999,0.8198733109210657,0.03714508822999424,0.5834420366084577,0.06520371937565005,0.6804169642826104,0.05329912571864682,0.7445607367857235,0.05267919881995354,0.19876021646927686,0.015784652511917158,0.10404907389075566,0.028208713803606823,0.0010722400154918432,0.003477983537118258,B,13
RF,G5,0.5645529334053924,0.007261738525349663,1.0,0.0,0.1827898169577109,0.01066460231238635,0.30894394907809253,0.015367043158872972,0.5913949084788555,0.005332301156193177,0.22541056449493593,0.0014560259800916135,0.006392234767548638,0.0034611373234622865,0.10219405998941511,0.041506400731776014,B,7
SVM,G5,0.5645529334053924,0.007261738525349663,1.0,0.0,0.1827898169577109,0.01066460231238635,0.30894394907809253,0.015367043158872972,0.5913949084788555,0.005332301156193177,0.22540649124645049,0.0015038200607963982,0.006213729929868968,0.003186357764358624,0.08178864000365138,0.173653554847907,B,7
MLP,G5,0.5645529334053924,0.007261738525349663,1.0,0.0,0.1827898169577109,0.01066460231238635,0.30894394907809253,0.015367043158872972,0.5913949084788555,0.005332301156193177,0.22707981529121316,0.0011272178167863254,0.02164537490421878,0.006867264251964089,0.04356955999974162,0.0012196072663937143,B,7
KNN,G5,0.5645529334053924,0.007261738525349663,1.0,0.0,0.1827898169577109,0.01066460231238635,0.30894394907809253,0.015367043158872972,0.5913949084788555,0.005332301156193177,0.43544706659460763,0.0072617385253496616,0.43544706659460763,0.0072617385253496616,0.0006821200018748641,0.01248228550413066,B,7
Stacking,G5,0.5645529334053924,0.007261738525349663,1.0,0.0,0.1827898169577109,0.01066460231238635,0.30894394907809253,0.015367043158872972,0.5913949084788555,0.005332301156193177,0.22551120943897338,0.001466864252443086,0.009135613961264163,0.0032048139376343043,0.8387478399788961,0.04888010691658547,B,7
OC_SVM,G5,0.5328229147901279,0.0024448522976621197,0.5328229147901279,0.0024448522976621197,1.0,0.0,0.6952145162201413,0.002081281104215954,0.5913949084788555,0.005332301156193177,0.22565603795111994,0.0013451096863547013,0.015865009307632398,0.0047029559120477325,0.0006009999429807067,0.002744736349056796,B,7
RF,G6,0.9923317120038432,0.007433688505178315,0.9899595959595959,0.012681270076534329,0.9959183673469388,0.004998958658741185,0.9928829884159833,0.0068825745095114355,0.9997586663531391,0.00029557862379977123,0.007750618507175884,0.0036778002312440636,0.02524956464300727,0.0037221602050773145,0.10511792001780122,0.03740012128748765,B,30
SVM,G6,0.9814027502552092,0.00817374943166603,0.9739393939393939,0.013583060806135614,0.991815695350305,0.0076417722675117036,0.9827307041520239,0.007580586792701089,0.999231186121056,0.0005285602916590001,0.01348352370328946,0.0038639322518029583,0.03445974312788701,0.005081577025702859,0.045930579979904,0.058940391733549855,B,30
MLP,G6,0.971560679757401,0.014814214538624252,0.9697269742438162,0.019883420206954626,0.9774247843467283,0.01506622677654982,0.9734360647666452,0.013806784045803148,0.9933027020446155,0.005843929960696948,0.0386520081923659,0.024399275288517805,0.09501742768083701,0.06861829236897751,0.0768559800228104,0.0013543289454638983,B,30
KNN,G6,0.9671710802858344,0.004935068557020308,0.9543889683085955,0.009620797844412056,0.9856722070271408,0.010389772359462549,0.9696963513151049,0.00451955551210979,0.9910099575672993,0.0022688992124475457,0.02472803699033207,0.002726881153822096,0.016412658379871492,0.00474327030196581,0.0003802600083872676,0.0165920825052123,B,30
Stacking,G6,0.993436618026782,0.0021828208619931685,0.9938775510204081,0.004998958658741185,0.9938565116768358,0.005016284285321563,0.9938459911664946,0.002025140990344861,0.9996871325849928,0.00046564244350772376,0.006681811098516575,0.0037251382285091784,0.026060622429637435,0.006449972401017805,1.0930567200062797,0.06072317063464501,B,30
OC_SVM,G6,0.722104125382814,0.014337535501400574,0.7955379912516255,0.03300249063221171,0.6467073427309068,0.030028870681861684,0.7124085075716431,0.01615947508509862,0.7478320064539841,0.02187484627665067,0.20159006393118978,0.004303014199970422,0.12396729267424689,0.013795546495315296,0.0019075800199061632,0.006447853051300042,B,30
RF,G7,0.9824956464300726,0.005350518736882887,0.9836296639868068,0.008079960678938417,0.9835472333263201,0.005102029971292558,0.9835676766857656,0.005032268874283497,0.9964116550480178,0.00263207622539358,0.021020980158534215,0.0054771555647209645,0.040910986018312695,0.005133596725595699,0.1339966399827972,0.04803497641609806,B,28
SVM,G7,0.927796793370564,0.025705749317740098,0.924223351504873,0.030408077951894916,0.9423942772985482,0.026627913884148025,0.932927995764792,0.023459372474233537,0.9763242252067454,0.011078741239199424,0.053528721381425295,0.01509573460882755,0.05390314598166601,0.007161740202675081,0.08349420002195984,0.13068362807625494,B,28
MLP,G7,0.9201525250705579,0.013989019278679874,0.9184720633971638,0.026929863542517283,0.9342730906795709,0.015472059182842316,0.9259268522027144,0.011782558353742065,0.9670636156644388,0.01661726647581553,0.07670888526195671,0.025056062555248587,0.10323429447001176,0.046267050250446196,0.1269381000427529,0.0018815166503269288,B,28
KNN,G7,0.9343421605716689,0.01389148554231853,0.93325167012809,0.017855840096679596,0.9445192509993688,0.010671656142973425,0.9387910240634836,0.012774229617366933,0.9778409201129505,0.012163194660131495,0.047271722812706425,0.010634060536622943,0.024304329550231197,0.008794285858300657,0.0004938799887895584,0.02224713696657561,B,28
Stacking,G7,0.9781120518825437,0.009792114570372941,0.9777296766746207,0.01453176752587283,0.9814853776562172,0.012051522588816048,0.9795045726925089,0.00913958882015589,0.9961588922310713,0.002778897641191435,0.020123056637476978,0.005871920160362777,0.041441525024520975,0.010216961627009555,1.2577975599793718,0.06685234443425783,B,28
OC_SVM,G7,0.7494505494505495,0.023561001864591896,0.8067856050507658,0.033075826947092345,0.6981485377656218,0.030961136573082193,0.7479685469569972,0.02423828174598603,0.8197242579601968,0.036234458051291864,0.18517105799496575,0.008865081595616518,0.11507996494784092,0.024091972098322777,0.001966580026783049,0.006794079169917341,B,28
RF,G8,0.9868672311295261,0.006566477103163847,0.9859166666666667,0.013541089731299749,0.9897328003366296,0.0065203637910189235,0.9877431919345598,0.006060395065110898,0.9982206155058524,0.0026123453734540913,0.009414290808701231,0.0043804698719835024,0.012468559647482363,0.003006886255053416,0.1161177400033921,0.041222217692999455,B,5
SVM,G8,0.9824836365819971,0.00877708751894727,0.9818577612863327,0.016056541630695722,0.9856511676835684,0.004947423002465526,0.9836726675589628,0.008065556309823384,0.9978828548921367,0.0018981908981728342,0.01335806532341153,0.006897767409411156,0.032949190215237525,0.0036069569654129754,0.030151500017382205,0.03242418666031921,B,5
MLP,G8,0.967159070437759,0.008570236338187475,0.9545201772476226,0.015393880441911758,0.9856301283399957,0.008226786894912658,0.9697253009810213,0.007688377584479958,0.9937793136914321,0.004557704529549402,0.12305937806563796,0.08163587817758287,0.24918282931375227,0.17738100387561076,0.06809088001027704,0.0014302276471619784,B,5
